Long,Lat,UTM_X(East),UTM_Y(North)
126.314425,33.3054873,249956.264231526,3688373.31793166
126.3144247,33.3054884,249956.23943394,3688373.44065699
126.3144242,33.3054896,249956.196295338,3688373.5749535
126.314424,33.3054908,249956.181096778,3688373.70853038
126.3144239,33.3054921,249956.175497249,3688373.85295879
126.3144238,33.3054932,249956.169326363,3688373.97520436
126.3144238,33.3054945,249956.173040182,3688374.1193929
126.3144238,33.3054956,249956.176182644,3688374.24139858
126.3144239,33.3054969,249956.189209811,3688374.38534723
126.314424,33.305498,249956.20166562,3688374.50711304
126.3144241,33.3054993,249956.214692787,3688374.65106169
126.3144243,33.3055005,249956.236747624,3688374.78367904
126.3144245,33.3055017,249956.258802459,3688374.91629639
126.3144246,33.305503,249956.271829625,3688375.06024505
126.3144251,33.3055041,249956.321538821,3688375.18105133
126.3144254,33.3055052,249956.352621325,3688375.30233737
126.3144261,33.3055064,249956.42124289,3688375.43375531
126.3144267,33.3055076,249956.48055111,3688375.56541314
126.3144274,33.3055089,249956.54945835,3688375.70792251
126.3144283,33.30551,249956.636420927,3688375.82776927
126.3144291,33.305511,249956.713784479,3688375.93676448
126.3144298,33.3055121,249956.782120358,3688376.057091
126.3144307,33.3055133,249956.869368607,3688376.18802919
126.3144314,33.3055146,249956.93827584,3688376.33053856
126.3144322,33.3055157,249957.01592506,3688376.4506252
126.3144329,33.3055168,249957.084260934,3688376.57095173
126.3144337,33.305518,249957.162195828,3688376.7021298
126.3144345,33.3055191,249957.239845044,3688376.82221644
126.3144354,33.3055203,249957.327093281,3688376.95315463
126.3144361,33.3055214,249957.395429146,3688377.07348115
126.314437,33.3055224,249957.482106025,3688377.18223649
126.3144376,33.3055233,249957.54055719,3688377.28062004
126.3144384,33.3055243,249957.617920721,3688377.38961526
126.3144391,33.3055253,249957.685970903,3688377.49885036
126.3144399,33.3055262,249957.763048754,3688377.59675416
126.3144408,33.3055272,249957.849725624,3688377.7055095
126.3144416,33.3055283,249957.927374822,3688377.82559615
126.3144424,33.3055292,249958.004452668,3688377.92349995
126.3144434,33.3055303,249958.100728553,3688378.04310684
126.3144442,33.3055313,249958.17809207,3688378.15210206
126.3144452,33.3055321,249958.273510922,3688378.23843468
126.3144462,33.3055331,249958.369501124,3688378.34695014
126.314447,33.3055342,249958.447150314,3688378.46703679
126.3144479,33.3055352,249958.53382717,3688378.57579214
126.3144488,33.3055364,249958.621075373,3688378.70673034
126.3144497,33.3055375,249958.7080379,3688378.82657711
126.3144506,33.3055388,249958.795571777,3688378.96860674
126.3144513,33.3055399,249958.863907614,3688379.08893327
126.3144521,33.3055411,249958.941842466,3688379.22011135
126.3144528,33.3055421,249959.009892624,3688379.32934646
126.3144533,33.3055432,249959.05960177,3688379.45015275
126.3144542,33.3055445,249959.147135637,3688379.59218238
126.3144548,33.3055457,249959.206443797,3688379.72384022
126.3144554,33.3055468,249959.265466282,3688379.84440664
126.314456,33.3055478,249959.324203091,3688379.95388162
126.3144567,33.305549,249959.392824589,3688380.08529959
126.3144573,33.3055502,249959.452132745,3688380.21695743
126.3144579,33.3055514,249959.511440898,3688380.34861527
126.3144584,33.3055527,249959.561721386,3688380.49160441
126.314459,33.3055538,249959.620743861,3688380.61217083
126.3144595,33.3055548,249959.670167318,3688380.7218857
126.31446,33.3055561,249959.720447802,3688380.86487484
126.3144607,33.3055573,249959.789069289,3688380.99629281
126.3144613,33.3055585,249959.848377436,3688381.12795065
126.3144618,33.3055597,249959.898372238,3688381.25984837
126.3144626,33.3055609,249959.976307064,3688381.39102646
126.3144636,33.3055619,249960.072297219,3688381.49954194
126.3144641,33.3055629,249960.121720667,3688381.60925681
